TPXC30 Index,,,7203 JT Equity,,,7267 JT Equity,,,6758 JT Equity,,,7201 JT Equity,,,6752 JT Equity,,,6902 JT Equity,,,9984 JT Equity,,,9432 JT Equity,,,9433 JT Equity,,,9437 JT Equity,,,8306 JT Equity,,,8316 JT Equity,,,8411 JT Equity,,,8766 JT Equity,,,8604 JT Equity,,,6954 JT Equity,,,9020 JT Equity,,,8058 JT Equity,,,9022 JT Equity,,,8031 JT Equity,,,2914 JT Equity,,,3382 JT Equity,,,7751 JT Equity,,,6981 JT Equity,,,6501 JT Equity,,,4502 JT Equity,,,4503 JT Equity,,,8802 JT Equity,,,8801 JT Equity,,,4063 JT Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2014/8/29,649.72,,2014/8/29,5928,,2014/8/29,3513,,2014/8/29,1990,,2014/8/29,999,,2014/8/29,1271,,2014/8/29,4513,,2014/8/29,7506,,2014/8/29,3490,,2014/8/29,1999.7,,2014/8/29,1798.5,,2014/8/29,598.2,,2014/8/29,4200.5,,2014/8/29,197.9,,2014/8/29,3171.5,,2014/8/29,667.4,,2014/8/29,17400,,2014/8/29,8083,,2014/8/29,2151.5,,2014/8/29,14580,,2014/8/29,1696,,2014/8/29,3564,,2014/8/29,4172.5,,2014/8/29,3399,,2014/8/29,9934,,2014/8/29,786.5,,2014/8/29,4750,,2014/8/29,1498,,2014/8/29,2401.5,,2014/8/29,3315,,2014/8/29,6456
2014/9/1,651.48,,2014/9/1,5956,,2014/9/1,3471.5,,2014/9/1,2015.5,,2014/9/1,998,,2014/9/1,1277,,2014/9/1,4577.5,,2014/9/1,7446,,2014/9/1,3475.5,,2014/9/1,2000,,2014/9/1,1810,,2014/9/1,600,,2014/9/1,4219,,2014/9/1,198.6,,2014/9/1,3166,,2014/9/1,668.1,,2014/9/1,17340,,2014/9/1,8093,,2014/9/1,2167.5,,2014/9/1,14690,,2014/9/1,1717,,2014/9/1,3558.5,,2014/9/1,4156,,2014/9/1,3394.5,,2014/9/1,10125,,2014/9/1,785.5,,2014/9/1,4779.5,,2014/9/1,1527,,2014/9/1,2421,,2014/9/1,3352,,2014/9/1,6542
2014/9/2,659.46,,2014/9/2,6060,,2014/9/2,3519,,2014/9/2,2019,,2014/9/2,1006.5,,2014/9/2,1287.5,,2014/9/2,4653,,2014/9/2,7541,,2014/9/2,3488.5,,2014/9/2,2033.3,,2014/9/2,1823,,2014/9/2,606.7,,2014/9/2,4295,,2014/9/2,202,,2014/9/2,3197,,2014/9/2,682.6,,2014/9/2,17640,,2014/9/2,8191,,2014/9/2,2186,,2014/9/2,14820,,2014/9/2,1722.5,,2014/9/2,3583,,2014/9/2,4223,,2014/9/2,3420,,2014/9/2,10675,,2014/9/2,803.8,,2014/9/2,4783,,2014/9/2,1515.5,,2014/9/2,2482,,2014/9/2,3415,,2014/9/2,6620
2014/9/3,663.24,,2014/9/3,6077,,2014/9/3,3552,,2014/9/3,2073,,2014/9/3,1013,,2014/9/3,1311,,2014/9/3,4692.5,,2014/9/3,7537,,2014/9/3,3493,,2014/9/3,2058,,2014/9/3,1836.5,,2014/9/3,614.8,,2014/9/3,4321.5,,2014/9/3,203.5,,2014/9/3,3206,,2014/9/3,688.2,,2014/9/3,17965,,2014/9/3,8184,,2014/9/3,2194,,2014/9/3,14700,,2014/9/3,1728,,2014/9/3,3608.5,,2014/9/3,4204,,2014/9/3,3447,,2014/9/3,10540,,2014/9/3,809.8,,2014/9/3,4772,,2014/9/3,1514.5,,2014/9/3,2490.5,,2014/9/3,3439,,2014/9/3,6631
2014/9/4,661.49,,2014/9/4,6087,,2014/9/4,3555,,2014/9/4,2056,,2014/9/4,1023,,2014/9/4,1302.5,,2014/9/4,4674,,2014/9/4,7477,,2014/9/4,3456,,2014/9/4,2054.3,,2014/9/4,1828.5,,2014/9/4,611.4,,2014/9/4,4298.5,,2014/9/4,203,,2014/9/4,3225,,2014/9/4,686.7,,2014/9/4,18050,,2014/9/4,8120,,2014/9/4,2181.5,,2014/9/4,14655,,2014/9/4,1721,,2014/9/4,3660,,2014/9/4,4168,,2014/9/4,3469,,2014/9/4,10580,,2014/9/4,801,,2014/9/4,4711.5,,2014/9/4,1517,,2014/9/4,2479,,2014/9/4,3426.5,,2014/9/4,6618
2014/9/5,660.2,,2014/9/5,6115,,2014/9/5,3554.5,,2014/9/5,2016,,2014/9/5,1020,,2014/9/5,1302.5,,2014/9/5,4740.5,,2014/9/5,7468,,2014/9/5,3439.5,,2014/9/5,2052,,2014/9/5,1828.5,,2014/9/5,606.2,,2014/9/5,4296,,2014/9/5,201.7,,2014/9/5,3206,,2014/9/5,681.4,,2014/9/5,18430,,2014/9/5,8055,,2014/9/5,2168.5,,2014/9/5,14505,,2014/9/5,1705.5,,2014/9/5,3657,,2014/9/5,4132,,2014/9/5,3470,,2014/9/5,10475,,2014/9/5,803.6,,2014/9/5,4696,,2014/9/5,1503.5,,2014/9/5,2441,,2014/9/5,3427.5,,2014/9/5,6620
2014/9/8,663.51,,2014/9/8,6107,,2014/9/8,3553,,2014/9/8,2017.5,,2014/9/8,1030.5,,2014/9/8,1298,,2014/9/8,4747,,2014/9/8,7628,,2014/9/8,3457,,2014/9/8,2064.3,,2014/9/8,1842.5,,2014/9/8,610.4,,2014/9/8,4328.5,,2014/9/8,202.4,,2014/9/8,3221,,2014/9/8,681.8,,2014/9/8,18660,,2014/9/8,8100,,2014/9/8,2195.5,,2014/9/8,14605,,2014/9/8,1714,,2014/9/8,3691.5,,2014/9/8,4125,,2014/9/8,3471,,2014/9/8,10515,,2014/9/8,806.8,,2014/9/8,4732.5,,2014/9/8,1497.5,,2014/9/8,2451.5,,2014/9/8,3430.5,,2014/9/8,6671
2014/9/9,666.27,,2014/9/9,6127,,2014/9/9,3592.5,,2014/9/9,2042,,2014/9/9,1037,,2014/9/9,1299.5,,2014/9/9,4831,,2014/9/9,7969,,2014/9/9,3479.5,,2014/9/9,2086.3,,2014/9/9,1864,,2014/9/9,606,,2014/9/9,4309.5,,2014/9/9,202,,2014/9/9,3249.5,,2014/9/9,681.9,,2014/9/9,18735,,2014/9/9,8041,,2014/9/9,2196,,2014/9/9,14470,,2014/9/9,1717,,2014/9/9,3693,,2014/9/9,4080,,2014/9/9,3466.5,,2014/9/9,10675,,2014/9/9,806.9,,2014/9/9,4771,,2014/9/9,1502.5,,2014/9/9,2419.5,,2014/9/9,3389,,2014/9/9,6746
2014/9/10,669.87,,2014/9/10,6170,,2014/9/10,3627.5,,2014/9/10,2048.5,,2014/9/10,1042,,2014/9/10,1307,,2014/9/10,4870,,2014/9/10,7950,,2014/9/10,3530,,2014/9/10,2101.7,,2014/9/10,1862,,2014/9/10,609.7,,2014/9/10,4336.5,,2014/9/10,202.9,,2014/9/10,3267,,2014/9/10,686,,2014/9/10,18765,,2014/9/10,8068,,2014/9/10,2233.5,,2014/9/10,14715,,2014/9/10,1725,,2014/9/10,3691.5,,2014/9/10,4110.5,,2014/9/10,3495,,2014/9/10,10865,,2014/9/10,814.1,,2014/9/10,4801.5,,2014/9/10,1510.5,,2014/9/10,2418.5,,2014/9/10,3400,,2014/9/10,6764
2014/9/11,674.9,,2014/9/11,6218,,2014/9/11,3663.5,,2014/9/11,2104.5,,2014/9/11,1053.5,,2014/9/11,1313,,2014/9/11,4852,,2014/9/11,8180,,2014/9/11,3532.5,,2014/9/11,2139,,2014/9/11,1879,,2014/9/11,618.6,,2014/9/11,4401.5,,2014/9/11,203.8,,2014/9/11,3297.5,,2014/9/11,693.2,,2014/9/11,18795,,2014/9/11,8111,,2014/9/11,2239,,2014/9/11,14595,,2014/9/11,1735,,2014/9/11,3667,,2014/9/11,4040,,2014/9/11,3505.5,,2014/9/11,10870,,2014/9/11,814.1,,2014/9/11,4792.5,,2014/9/11,1544.5,,2014/9/11,2424.5,,2014/9/11,3380,,2014/9/11,6763
2014/9/12,678.45,,2014/9/12,6303,,2014/9/12,3687,,2014/9/12,2127,,2014/9/12,1055,,2014/9/12,1313,,2014/9/12,4820.5,,2014/9/12,8365,,2014/9/12,3469,,2014/9/12,2134.3,,2014/9/12,1887.5,,2014/9/12,621.9,,2014/9/12,4424,,2014/9/12,204.2,,2014/9/12,3301,,2014/9/12,690.7,,2014/9/12,18655,,2014/9/12,8080,,2014/9/12,2242.5,,2014/9/12,14540,,2014/9/12,1741.5,,2014/9/12,3675.5,,2014/9/12,4066.5,,2014/9/12,3519,,2014/9/12,10860,,2014/9/12,820,,2014/9/12,4806.5,,2014/9/12,1594,,2014/9/12,2418.5,,2014/9/12,3427.5,,2014/9/12,6711
2014/9/16,677.59,,2014/9/16,6305,,2014/9/16,3650,,2014/9/16,2163,,2014/9/16,1054.5,,2014/9/16,1318.5,,2014/9/16,4752.5,,2014/9/16,8657,,2014/9/16,3478,,2014/9/16,2144,,2014/9/16,1886,,2014/9/16,614.6,,2014/9/16,4364.5,,2014/9/16,201.4,,2014/9/16,3227,,2014/9/16,688.9,,2014/9/16,18500,,2014/9/16,8088,,2014/9/16,2254.5,,2014/9/16,14570,,2014/9/16,1758.5,,2014/9/16,3644.5,,2014/9/16,4079,,2014/9/16,3528.5,,2014/9/16,10810,,2014/9/16,820,,2014/9/16,4827,,2014/9/16,1590.5,,2014/9/16,2376,,2014/9/16,3361.5,,2014/9/16,6823
2014/9/17,674.31,,2014/9/17,6309,,2014/9/17,3637.5,,2014/9/17,2123.5,,2014/9/17,1049.5,,2014/9/17,1308,,2014/9/17,4762.5,,2014/9/17,8562,,2014/9/17,3486,,2014/9/17,2153,,2014/9/17,1897.5,,2014/9/17,609.7,,2014/9/17,4330,,2014/9/17,199,,2014/9/17,3257,,2014/9/17,680.2,,2014/9/17,18430,,2014/9/17,8007,,2014/9/17,2251.5,,2014/9/17,14320,,2014/9/17,1751.5,,2014/9/17,3635,,2014/9/17,4063.5,,2014/9/17,3514,,2014/9/17,10885,,2014/9/17,808.4,,2014/9/17,4829.5,,2014/9/17,1584,,2014/9/17,2337.5,,2014/9/17,3288.5,,2014/9/17,6849
2014/9/18,681.28,,2014/9/18,6445,,2014/9/18,3712.5,,2014/9/18,1940,,2014/9/18,1059.5,,2014/9/18,1314.5,,2014/9/18,4812.5,,2014/9/18,8690,,2014/9/18,3471.5,,2014/9/18,2174.7,,2014/9/18,1909.5,,2014/9/18,621.2,,2014/9/18,4398.5,,2014/9/18,199.7,,2014/9/18,3315,,2014/9/18,683.1,,2014/9/18,18845,,2014/9/18,8025,,2014/9/18,2291,,2014/9/18,14430,,2014/9/18,1756,,2014/9/18,3603.5,,2014/9/18,4102.5,,2014/9/18,3541.5,,2014/9/18,11310,,2014/9/18,828.2,,2014/9/18,4861,,2014/9/18,1583.5,,2014/9/18,2360,,2014/9/18,3329.5,,2014/9/18,6899
2014/9/19,687.42,,2014/9/19,6494,,2014/9/19,3756,,2014/9/19,1921,,2014/9/19,1076.5,,2014/9/19,1320,,2014/9/19,4879,,2014/9/19,8740,,2014/9/19,3418,,2014/9/19,2215.3,,2014/9/19,1909.5,,2014/9/19,629.3,,2014/9/19,4463,,2014/9/19,200.7,,2014/9/19,3372.5,,2014/9/19,689,,2014/9/19,19320,,2014/9/19,8109,,2014/9/19,2312.5,,2014/9/19,14535,,2014/9/19,1777,,2014/9/19,3614.5,,2014/9/19,4115,,2014/9/19,3591,,2014/9/19,11810,,2014/9/19,830.9,,2014/9/19,4893.5,,2014/9/19,1600.5,,2014/9/19,2386,,2014/9/19,3350.5,,2014/9/19,7150
2014/9/22,686.23,,2014/9/22,6492,,2014/9/22,3773.5,,2014/9/22,1896.5,,2014/9/22,1084.5,,2014/9/22,1315,,2014/9/22,4902,,2014/9/22,8207,,2014/9/22,3401.5,,2014/9/22,2196,,2014/9/22,1905.5,,2014/9/22,636.4,,2014/9/22,4503.5,,2014/9/22,200.6,,2014/9/22,3425.5,,2014/9/22,688.6,,2014/9/22,19265,,2014/9/22,8104,,2014/9/22,2331.5,,2014/9/22,14425,,2014/9/22,1800,,2014/9/22,3578.5,,2014/9/22,4132.5,,2014/9/22,3623.5,,2014/9/22,11785,,2014/9/22,834.2,,2014/9/22,4928,,2014/9/22,1596,,2014/9/22,2389,,2014/9/22,3335,,2014/9/22,7145
2014/9/24,681.25,,2014/9/24,6423,,2014/9/24,3771,,2014/9/24,1874,,2014/9/24,1075,,2014/9/24,1303,,2014/9/24,4957,,2014/9/24,7917,,2014/9/24,3382,,2014/9/24,2183.3,,2014/9/24,1884.5,,2014/9/24,630.8,,2014/9/24,4497.5,,2014/9/24,200.1,,2014/9/24,3360,,2014/9/24,676.9,,2014/9/24,19420,,2014/9/24,8191,,2014/9/24,2334.5,,2014/9/24,14510,,2014/9/24,1798.5,,2014/9/24,3546.5,,2014/9/24,4113.5,,2014/9/24,3584.5,,2014/9/24,11955,,2014/9/24,835.1,,2014/9/24,4894.5,,2014/9/24,1615,,2014/9/24,2355.5,,2014/9/24,3298.5,,2014/9/24,7188
2014/9/25,690.95,,2014/9/25,6550,,2014/9/25,3816.5,,2014/9/25,1901,,2014/9/25,1088,,2014/9/25,1320,,2014/9/25,5171,,2014/9/25,7961,,2014/9/25,3435,,2014/9/25,2203,,2014/9/25,1901,,2014/9/25,639.8,,2014/9/25,4531,,2014/9/25,203,,2014/9/25,3434,,2014/9/25,684.6,,2014/9/25,19505,,2014/9/25,8269,,2014/9/25,2355.5,,2014/9/25,14880,,2014/9/25,1820,,2014/9/25,3611.5,,2014/9/25,4230,,2014/9/25,3595,,2014/9/25,12250,,2014/9/25,855.5,,2014/9/25,4913.5,,2014/9/25,1615,,2014/9/25,2445,,2014/9/25,3395,,2014/9/25,7310
2014/9/26,682.32,,2014/9/26,6453,,2014/9/26,3744.5,,2014/9/26,1899,,2014/9/26,1075,,2014/9/26,1311.5,,2014/9/26,5052,,2014/9/26,7900,,2014/9/26,3416,,2014/9/26,2180.3,,2014/9/26,1873,,2014/9/26,625.2,,2014/9/26,4448.5,,2014/9/26,198.5,,2014/9/26,3387,,2014/9/26,671.8,,2014/9/26,20310,,2014/9/26,8106,,2014/9/26,2284,,2014/9/26,14785,,2014/9/26,1771,,2014/9/26,3579.5,,2014/9/26,4193,,2014/9/26,3567.5,,2014/9/26,12460,,2014/9/26,849.2,,2014/9/26,4798.5,,2014/9/26,1611,,2014/9/26,2462,,2014/9/26,3382,,2014/9/26,7107
2014/9/29,684.25,,2014/9/29,6488,,2014/9/29,3770,,2014/9/29,1959,,2014/9/29,1077.5,,2014/9/29,1318,,2014/9/29,5064,,2014/9/29,7807,,2014/9/29,3432,,2014/9/29,2209,,2014/9/29,1870,,2014/9/29,621.6,,2014/9/29,4441,,2014/9/29,198.7,,2014/9/29,3401,,2014/9/29,666.9,,2014/9/29,20040,,2014/9/29,8228,,2014/9/29,2313.5,,2014/9/29,14860,,2014/9/29,1769,,2014/9/29,3591.5,,2014/9/29,4223,,2014/9/29,3596,,2014/9/29,12785,,2014/9/29,853.5,,2014/9/29,4812,,2014/9/29,1634,,2014/9/29,2468,,2014/9/29,3368.5,,2014/9/29,7178
2014/9/30,680,,2014/9/30,6463,,2014/9/30,3800,,2014/9/30,1991,,2014/9/30,1069,,2014/9/30,1304.5,,2014/9/30,5055,,2014/9/30,7689,,2014/9/30,3410.5,,2014/9/30,2197.7,,2014/9/30,1830.5,,2014/9/30,620.2,,2014/9/30,4471,,2014/9/30,195.9,,2014/9/30,3402.5,,2014/9/30,653.8,,2014/9/30,19810,,2014/9/30,8220,,2014/9/30,2246,,2014/9/30,14815,,2014/9/30,1729.5,,2014/9/30,3567,,2014/9/30,4254,,2014/9/30,3570.5,,2014/9/30,12470,,2014/9/30,837.5,,2014/9/30,4768,,2014/9/30,1633,,2014/9/30,2468.5,,2014/9/30,3359.5,,2014/9/30,7168
2014/10/1,678.12,,2014/10/1,6500,,2014/10/1,3743.5,,2014/10/1,1968.5,,2014/10/1,1049,,2014/10/1,1297,,2014/10/1,5025,,2014/10/1,7685,,2014/10/1,3418,,2014/10/1,2204,,2014/10/1,1830,,2014/10/1,620,,2014/10/1,4518,,2014/10/1,196.1,,2014/10/1,3365,,2014/10/1,644.4,,2014/10/1,19785,,2014/10/1,8260,,2014/10/1,2228,,2014/10/1,14915,,2014/10/1,1693.5,,2014/10/1,3524.5,,2014/10/1,4246,,2014/10/1,3570.5,,2014/10/1,12070,,2014/10/1,841.8,,2014/10/1,4740,,2014/10/1,1634,,2014/10/1,2437.5,,2014/10/1,3319.5,,2014/10/1,7141
2014/10/2,658,,2014/10/2,6275,,2014/10/2,3588,,2014/10/2,1904.5,,2014/10/2,1024.5,,2014/10/2,1249.5,,2014/10/2,4865.5,,2014/10/2,7494,,2014/10/2,3276,,2014/10/2,2142.3,,2014/10/2,1769,,2014/10/2,599.6,,2014/10/2,4392.5,,2014/10/2,193.5,,2014/10/2,3267.5,,2014/10/2,631.3,,2014/10/2,19195,,2014/10/2,8089,,2014/10/2,2157.5,,2014/10/2,14500,,2014/10/2,1656,,2014/10/2,3468,,2014/10/2,4162.5,,2014/10/2,3500.5,,2014/10/2,11575,,2014/10/2,813.1,,2014/10/2,4663,,2014/10/2,1592,,2014/10/2,2343.5,,2014/10/2,3159,,2014/10/2,6887
2014/10/3,656.8,,2014/10/3,6290,,2014/10/3,3538.5,,2014/10/3,1895,,2014/10/3,1012.5,,2014/10/3,1254,,2014/10/3,4899.5,,2014/10/3,7439,,2014/10/3,3248,,2014/10/3,2140,,2014/10/3,1766.5,,2014/10/3,601.9,,2014/10/3,4380,,2014/10/3,194.1,,2014/10/3,3265,,2014/10/3,627,,2014/10/3,19235,,2014/10/3,8089,,2014/10/3,2162,,2014/10/3,14485,,2014/10/3,1662,,2014/10/3,3485.5,,2014/10/3,4111.5,,2014/10/3,3489,,2014/10/3,11825,,2014/10/3,813.2,,2014/10/3,4659,,2014/10/3,1606.5,,2014/10/3,2310,,2014/10/3,3101,,2014/10/3,6936
2014/10/6,664.09,,2014/10/6,6383,,2014/10/6,3605,,2014/10/6,1937,,2014/10/6,1025,,2014/10/6,1276.5,,2014/10/6,4951,,2014/10/6,7428,,2014/10/6,3252,,2014/10/6,2188.3,,2014/10/6,1757.5,,2014/10/6,613.1,,2014/10/6,4399,,2014/10/6,195.8,,2014/10/6,3286,,2014/10/6,628.8,,2014/10/6,19450,,2014/10/6,8101,,2014/10/6,2168,,2014/10/6,14500,,2014/10/6,1667.5,,2014/10/6,3603,,2014/10/6,4134.5,,2014/10/6,3520,,2014/10/6,12015,,2014/10/6,835,,2014/10/6,4682,,2014/10/6,1649,,2014/10/6,2308.5,,2014/10/6,3106.5,,2014/10/6,6985
2014/10/7,663.09,,2014/10/7,6366,,2014/10/7,3591,,2014/10/7,1913,,2014/10/7,1021,,2014/10/7,1276,,2014/10/7,4962.5,,2014/10/7,7467,,2014/10/7,3269,,2014/10/7,2203,,2014/10/7,1752,,2014/10/7,610,,2014/10/7,4391,,2014/10/7,195.7,,2014/10/7,3364,,2014/10/7,620.9,,2014/10/7,19230,,2014/10/7,8151,,2014/10/7,2148,,2014/10/7,14590,,2014/10/7,1662,,2014/10/7,3602.5,,2014/10/7,4136,,2014/10/7,3503,,2014/10/7,11935,,2014/10/7,828.2,,2014/10/7,4678,,2014/10/7,1660.5,,2014/10/7,2302,,2014/10/7,3118.5,,2014/10/7,6970
2014/10/8,653.94,,2014/10/8,6252,,2014/10/8,3541,,2014/10/8,1915,,2014/10/8,999.6,,2014/10/8,1261,,2014/10/8,4858,,2014/10/8,7311,,2014/10/8,3189,,2014/10/8,2210.3,,2014/10/8,1742.5,,2014/10/8,605.6,,2014/10/8,4300,,2014/10/8,193.8,,2014/10/8,3327.5,,2014/10/8,621.8,,2014/10/8,18830,,2014/10/8,8132,,2014/10/8,2133,,2014/10/8,14520,,2014/10/8,1646,,2014/10/8,3567.5,,2014/10/8,4124.5,,2014/10/8,3479.5,,2014/10/8,11800,,2014/10/8,801.6,,2014/10/8,4624.5,,2014/10/8,1622,,2014/10/8,2267,,2014/10/8,3079,,2014/10/8,6882
2014/10/9,649.63,,2014/10/9,6240,,2014/10/9,3525.5,,2014/10/9,1882.5,,2014/10/9,998.5,,2014/10/9,1244.5,,2014/10/9,4828.5,,2014/10/9,7233,,2014/10/9,3207.5,,2014/10/9,2183,,2014/10/9,1717.5,,2014/10/9,601.6,,2014/10/9,4246.5,,2014/10/9,193,,2014/10/9,3305,,2014/10/9,617.6,,2014/10/9,18665,,2014/10/9,8085,,2014/10/9,2091.5,,2014/10/9,14390,,2014/10/9,1621.5,,2014/10/9,3567.5,,2014/10/9,4125.5,,2014/10/9,3420,,2014/10/9,11455,,2014/10/9,791.4,,2014/10/9,4608,,2014/10/9,1612.5,,2014/10/9,2245.5,,2014/10/9,3075,,2014/10/9,6893
2014/10/10,640.63,,2014/10/10,6220,,2014/10/10,3473,,2014/10/10,1882,,2014/10/10,982.7,,2014/10/10,1213,,2014/10/10,4710,,2014/10/10,7100,,2014/10/10,3156,,2014/10/10,2152,,2014/10/10,1718.5,,2014/10/10,589.4,,2014/10/10,4120,,2014/10/10,189.3,,2014/10/10,3279,,2014/10/10,615,,2014/10/10,18175,,2014/10/10,8075,,2014/10/10,2068.5,,2014/10/10,14235,,2014/10/10,1597.5,,2014/10/10,3493.5,,2014/10/10,4058,,2014/10/10,3379,,2014/10/10,11265,,2014/10/10,781.2,,2014/10/10,4586.5,,2014/10/10,1601,,2014/10/10,2235,,2014/10/10,3041.5,,2014/10/10,6704
2014/10/14,624.56,,2014/10/14,5978,,2014/10/14,3404,,2014/10/14,1822,,2014/10/14,962.7,,2014/10/14,1175.5,,2014/10/14,4611,,2014/10/14,6877,,2014/10/14,3109,,2014/10/14,2094.7,,2014/10/14,1673.5,,2014/10/14,577.4,,2014/10/14,4023.5,,2014/10/14,187,,2014/10/14,3209,,2014/10/14,595.8,,2014/10/14,18005,,2014/10/14,7853,,2014/10/14,2015,,2014/10/14,13735,,2014/10/14,1574.5,,2014/10/14,3391.5,,2014/10/14,3961,,2014/10/14,3304.5,,2014/10/14,10960,,2014/10/14,759.2,,2014/10/14,4500,,2014/10/14,1536.5,,2014/10/14,2189,,2014/10/14,2940,,2014/10/14,6572
2014/10/15,628.01,,2014/10/15,5990,,2014/10/15,3417,,2014/10/15,1849.5,,2014/10/15,966.3,,2014/10/15,1182.5,,2014/10/15,4691,,2014/10/15,7026,,2014/10/15,3113.5,,2014/10/15,2114,,2014/10/15,1693,,2014/10/15,578.6,,2014/10/15,4042.5,,2014/10/15,186,,2014/10/15,3247,,2014/10/15,598.8,,2014/10/15,18150,,2014/10/15,7869,,2014/10/15,2011,,2014/10/15,13975,,2014/10/15,1570.5,,2014/10/15,3364.5,,2014/10/15,3992,,2014/10/15,3297,,2014/10/15,11400,,2014/10/15,766.9,,2014/10/15,4508,,2014/10/15,1565,,2014/10/15,2220,,2014/10/15,2957.5,,2014/10/15,6744
2014/10/16,613.47,,2014/10/16,5879,,2014/10/16,3285,,2014/10/16,1789.5,,2014/10/16,953.2,,2014/10/16,1140.5,,2014/10/16,4578,,2014/10/16,6780,,2014/10/16,3049.5,,2014/10/16,2087,,2014/10/16,1661,,2014/10/16,560,,2014/10/16,3933.5,,2014/10/16,180.1,,2014/10/16,3171.5,,2014/10/16,582.2,,2014/10/16,17955,,2014/10/16,7745,,2014/10/16,1983,,2014/10/16,13500,,2014/10/16,1550.5,,2014/10/16,3320.5,,2014/10/16,3877,,2014/10/16,3241.5,,2014/10/16,11155,,2014/10/16,748.3,,2014/10/16,4425,,2014/10/16,1529,,2014/10/16,2178,,2014/10/16,2892,,2014/10/16,6551
2014/10/17,603.7,,2014/10/17,5731,,2014/10/17,3255,,2014/10/17,1805,,2014/10/17,918,,2014/10/17,1130,,2014/10/17,4519.5,,2014/10/17,6828,,2014/10/17,3002.5,,2014/10/17,2053.7,,2014/10/17,1612.5,,2014/10/17,551,,2014/10/17,3835,,2014/10/17,178.3,,2014/10/17,3102,,2014/10/17,576.6,,2014/10/17,17695,,2014/10/17,7632,,2014/10/17,1944,,2014/10/17,13320,,2014/10/17,1522.5,,2014/10/17,3274,,2014/10/17,3794.5,,2014/10/17,3180,,2014/10/17,11220,,2014/10/17,740,,2014/10/17,4337.5,,2014/10/17,1483.5,,2014/10/17,2172,,2014/10/17,2879,,2014/10/17,6441
2014/10/20,629.44,,2014/10/20,6028,,2014/10/20,3367.5,,2014/10/20,1875,,2014/10/20,955.9,,2014/10/20,1181,,2014/10/20,4723.5,,2014/10/20,7230,,2014/10/20,3181,,2014/10/20,2136.7,,2014/10/20,1696.5,,2014/10/20,570.4,,2014/10/20,3963,,2014/10/20,184.7,,2014/10/20,3195.5,,2014/10/20,597.5,,2014/10/20,18695,,2014/10/20,8014,,2014/10/20,2011,,2014/10/20,13950,,2014/10/20,1559,,2014/10/20,3438.5,,2014/10/20,3953.5,,2014/10/20,3253,,2014/10/20,11795,,2014/10/20,770.3,,2014/10/20,4470.5,,2014/10/20,1559,,2014/10/20,2263,,2014/10/20,2960.5,,2014/10/20,6726
2014/10/21,620.01,,2014/10/21,5931,,2014/10/21,3315.5,,2014/10/21,1847,,2014/10/21,935.1,,2014/10/21,1173.5,,2014/10/21,4675,,2014/10/21,7056,,2014/10/21,3108.5,,2014/10/21,2107.3,,2014/10/21,1675,,2014/10/21,566.8,,2014/10/21,3926.5,,2014/10/21,182.9,,2014/10/21,3164,,2014/10/21,593,,2014/10/21,18125,,2014/10/21,7798,,2014/10/21,1983,,2014/10/21,13900,,2014/10/21,1537.5,,2014/10/21,3391,,2014/10/21,3870.5,,2014/10/21,3224,,2014/10/21,11575,,2014/10/21,754.4,,2014/10/21,4423.5,,2014/10/21,1544.5,,2014/10/21,2239.5,,2014/10/21,2933.5,,2014/10/21,6585
2014/10/22,634.28,,2014/10/22,6034,,2014/10/22,3412,,2014/10/22,1909,,2014/10/22,950.7,,2014/10/22,1200.5,,2014/10/22,4835,,2014/10/22,7289,,2014/10/22,3212,,2014/10/22,2208.7,,2014/10/22,1727.5,,2014/10/22,577.9,,2014/10/22,3967,,2014/10/22,186.3,,2014/10/22,3180,,2014/10/22,603.4,,2014/10/22,18465,,2014/10/22,8067,,2014/10/22,2020,,2014/10/22,14485,,2014/10/22,1566.5,,2014/10/22,3497,,2014/10/22,3958,,2014/10/22,3261,,2014/10/22,11675,,2014/10/22,777.2,,2014/10/22,4482,,2014/10/22,1595,,2014/10/22,2285,,2014/10/22,2999.5,,2014/10/22,6644
